dataset,time,number-clusters,silhouette,davies-bouldin,calinski-harabasz
data-lakes\clustering\Agrifood-Exports\tab-12.csv,0.0135141,2,0.8277578026474943,0.25726908931091097,129.84481750847758
data-lakes\clustering\Agrifood-Exports\tab-14.csv,0.0091175,2,0.8715202095598574,0.012993432185978803,2099.371389439481
data-lakes\clustering\Agrifood-Exports\tab-15.csv,0.0162131,2,0.8719482777613722,0.16969696969696968,15.25210084033614
data-lakes\clustering\Agrifood-Exports\tab-35.csv,0.0319129,2,0.8958805084159019,0.07673863362983341,24.076923076923077
data-lakes\clustering\Agrifood-Exports\tab-36.csv,0.0135587,2,0.8393311264765602,0.19632271302194942,18.45
data-lakes\clustering\Agrifood-Exports\tab-37.csv,0.0968162,2,0.8345295478136189,0.11922006213798925,17.20704729855428
data-lakes\clustering\Agrifood-Exports\tab-38.csv,0.0631,2,0.8191326612732911,0.13249892092903884,13.057527615137609
data-lakes\clustering\Agrifood-Exports\tab-42.csv,0.0813479,2,0.8584298682751178,0.7651966685244023,22.41936993563258
data-lakes\clustering\Agrifood-Exports\tab-45.csv,0.0130761,3,0.43289044030681206,0.39166778359957694,3.5461652194429085
data-lakes\clustering\Agrifood-Exports\tab-47.csv,0.0229145,2,0.7499695792199009,0.18243960457253794,8.650191078520766
data-lakes\clustering\Agrifood-Exports\tab-94.csv,0.004994,2,0.793345233900672,0.03338472156586937,483.9439408043051
data-lakes\clustering\Art-Funding\21100183.csv,0.0465889,2,0.8952114532958186,0.08745020559924573,105.27963688152664
data-lakes\clustering\Art-Funding\21100245.csv,0.0054518,2,0.809710064105679,0.22404481344448157,21.25
data-lakes\clustering\Art-Funding\artpublic.csv,0.380939,2,0.3562553471236085,0.4801820056487335,2.991965861846737
data-lakes\clustering\Art-Funding\ccsf_en.csv,53.6235,2,0.5960205366304989,0.2696361143991568,5.612647073518595
data-lakes\clustering\Brasilian-Taxes\dados.csv,15.8573,2,0.9822736843663397,0.1859860412491996,71507.70939641375
data-lakes\clustering\COVID\covid-line-list.csv,13.3014,2,0.9838691257384193,0.012200738407962342,286.10922179989245
data-lakes\clustering\COVID\estimations.csv,0.0405398,4,0.9008662610469554,0.10241384845794968,1140.4223435222766
data-lakes\clustering\COVID\liz-friedman-covid.csv,0.032256,2,0.8629715149673702,0.2970779220779221,206.8376068376069
data-lakes\clustering\Crimes\Crime1.csv,320.609,3,0.10775073633760815,2.370319251330803,28.46041699280227
data-lakes\clustering\Crimes\accidental_deaths.csv,53.6017,2,0.6472378661419128,0.26463476897207916,5.980321340606955
data-lakes\clustering\Crimes\children_injured.csv,23.022,2,0.8092852138844316,0.12125887454753784,14.118048424105753
data-lakes\clustering\Crimes\children_killed.csv,46.3305,2,0.6653131379189946,0.25145847219484085,6.257675347783332
data-lakes\clustering\Crimes\knifecrime2.csv,64.3538,2,0.9297421917211884,0.1623695736092102,2519.1835278379685
data-lakes\clustering\Crimes\teens_injured.csv,6.76678,2,0.5671962809938719,0.3322487582101057,7.447229979359177
data-lakes\clustering\Crimes\teens_killed.csv,11.9796,2,0.4336554266964449,6.231266735489645,3.813919583975025
data-lakes\clustering\Divorces\39100009-000000.csv,44.1167,2,0.5059990295960177,1.3313969303112652,46.263156384524656
data-lakes\clustering\Divorces\39100009-000001.csv,142.975,2,0.7197254241325627,0.8928422634551586,34.26566333040891
data-lakes\clustering\Divorces\39100009-000002.csv,78.1478,2,0.4603147062603375,1.9133310237272751,19.83189142406796
data-lakes\clustering\Divorces\39100009-000003.csv,147.632,2,0.40817013900881627,2.2824721656677096,12.084285313129229
data-lakes\clustering\Divorces\39100009-000004.csv,73.4896,2,0.9759321558302463,0.07525801779982288,499.4238346095625
data-lakes\clustering\Divorces\39100009-000005.csv,50.7114,2,0.3069943403019926,0.8976897373839197,23.232628634884968
data-lakes\clustering\Divorces\39100009-000006.csv,101.684,3,0.23350385522726388,2.754391275150675,6.476268981429132
data-lakes\clustering\Divorces\39100009-000007.csv,0.0906166,2,0.6599630522805595,0.8054990592701328,28.1138519901574
data-lakes\clustering\Divorces\39100011.csv,0.0205484,2,0.9986198612567545,0.0012014212479633242,2828664.548234485
data-lakes\clustering\Divorces\39100016.csv,0.52498,2,0.9116988981431468,0.10318545024420188,956.944335418628
data-lakes\clustering\Divorces\39100019.csv,0.0308992,2,0.9986144489479563,0.0012014212479638338,2246292.4353626757
data-lakes\clustering\Divorces\39100020.csv,2.74242,2,0.715608670069472,0.2778221444327539,37.17857252992262
data-lakes\clustering\Divorces\39100021.csv,8.70747,2,0.42727154617651475,0.43405081659789263,4.593862280478149
data-lakes\clustering\Divorces\39100029.csv,0.0172375,2,0.9986808353610367,0.0011321856637137358,1216182.5763115345
data-lakes\clustering\Divorces\39100033.csv,0.01521,2,0.9107272814808963,0.1002857721111842,52.46049103160263
data-lakes\clustering\Divorces\39100037.csv,19.0528,2,0.9999976729032483,1.8279935283240311e-06,6577239554430.783
data-lakes\clustering\Divorces\39100038.csv,0.0269684,2,0.9986144489479563,0.0012014212479638338,2246292.4353626757
data-lakes\clustering\EU-Fruit-Data\tag00120.csv,45.3065,2,0.45446614285733383,0.3867388407017997,3.6485606172289806
data-lakes\clustering\Farm-Operators\32100004.csv,6.9218,2,0.9983535052351501,0.001514664708312131,27120269.148043606
data-lakes\clustering\Farm-Operators\32100009.csv,95.3608,2,0.8590677890734105,0.17902959386279044,3636.9991003177383
data-lakes\clustering\Farm-Operators\32100010.csv,157.689,2,0.9743767795275995,0.6737808095789499,4116.553424834631
data-lakes\clustering\Farm-Operators\32100020.csv,117.128,2,0.998447034330868,0.0018571069846647092,62651967.3043999
data-lakes\clustering\Farm-Operators\32100024.csv,18.2653,2,0.99844552982489,0.0018571069846664888,16841141.06549782
data-lakes\clustering\Farm-Operators\32100027.csv,13.9429,2,0.99844552982489,0.0018571069846664888,16841141.06549782
data-lakes\clustering\Farm-Operators\32100030.csv,10.5806,2,0.9988360596977273,0.0010710218869158293,63304436.3151804
data-lakes\clustering\Farm-Operators\32100084.csv,6.89004,2,0.9988366390344761,0.0010710218869150608,108619976.41064602
data-lakes\clustering\Farm-Operators\32100166.csv,7.98458,2,0.9988367545160095,0.00107102188691594,126746192.44883198
data-lakes\clustering\Farm-Operators\32100192.csv,28.8611,2,0.7093783720703178,0.27693016639639956,630.1733290495542
data-lakes\clustering\Gas-Emissions\co2-nuts-2.csv,0.0857596,2,0.7499930153557958,0.48150605478832403,470.5733017869719
data-lakes\clustering\Gas-Emissions\med_en1.csv,0.0078936,2,0.7348936410302842,0.0133795944966695,2482.7419331503497
data-lakes\clustering\Gas-Emissions\med_en2.csv,0.0228606,4,0.5203654401698558,0.4606084500303244,17.972649683300194
data-lakes\clustering\Gas-Emissions\t2020_30.csv,0.149541,2,0.8214743086439017,0.18375942556024452,11.409652076318741
data-lakes\clustering\Hiking-Tours\videos_utf8.csv,305.798,2,0.5549566585442154,0.29888398415357786,5.891164373576459
data-lakes\clustering\Marriage\both_sexes.csv,0.0376574,2,0.840215844177751,0.20278026645536923,128.7579963503756
data-lakes\clustering\Marriage\divorce.csv,0.0086524,2,0.9332009160776813,0.1584292606812302,454.09505063209014
data-lakes\clustering\Marriage\men.csv,0.0410249,2,0.8003655292051891,0.2015513784477076,75.49804619689534
data-lakes\clustering\Marriage\women.csv,0.0496022,2,0.7610590442776964,0.34362360187162555,60.8207609200216
data-lakes\clustering\Rockfall-Risk\B-9.csv,0.896333,2,0.7105027565845411,0.38720532912686295,1714.3235345668465
data-lakes\clustering\Rockfall-Risk\C-6.csv,0.535898,2,0.9991428314265146,0.0007150935705631976,3621208.0418480407
data-lakes\clustering\Rockfall-Risk\D-1.csv,1.47798,2,0.996578375605556,0.0006102872202694488,94105.45167472571
data-lakes\clustering\Rockfall-Risk\E-7.csv,0.454245,2,0.999148706297588,0.0007088764463987203,3773039.788663978
data-lakes\clustering\Rockfall-Risk\F-4.csv,1.95414,2,0.9965727717182299,0.0006174692054715819,88553.41073983841
data-lakes\clustering\Rockfall-Risk\G-3.csv,0.646378,2,0.999152266360026,0.0007021274287872163,3656547.793873988
data-lakes\clustering\Rockfall-Risk\H-1.csv,33.2372,2,0.9413175715345056,0.29393893256399084,17759.260469560177
data-lakes\clustering\Rockfall-Risk\H-2.csv,21.3337,9,0.7767064845917181,0.42903291814333383,49330.89214963256
data-lakes\clustering\Rockfall-Risk\H-3.csv,13.2886,12,0.6223330392435555,2.245886537720604,1117.4133449911346
data-lakes\clustering\Rockfall-Risk\H-4.csv,47.4121,2,0.9291180739238912,0.4568392620285756,10539.007521630847
data-lakes\clustering\Rockfall-Risk\J-1.csv,15.0092,12,0.686651612055764,2.0383605609610433,1144.499795259567
data-lakes\clustering\Rockfall-Risk\J-2.csv,21.528,8,0.692481010152405,1.386415780273571,2045.7031939074975
data-lakes\clustering\Rockfall-Risk\J-3.csv,60.1616,2,0.9456156794324105,0.25916575272338843,21134.84159358091
data-lakes\clustering\Rockfall-Risk\J-4.csv,14.9505,12,0.7097520824682568,1.8379972902491657,1188.4007787142964
data-lakes\clustering\Rockfall-Risk\K-6.csv,16.0187,12,0.7079662454946892,2.1808109061574723,1036.020922919807
data-lakes\clustering\Rockfall-Risk\K-7.csv,12.313,12,0.7045054651790462,2.29921826873356,1059.3104206196588
data-lakes\clustering\Rockfall-Risk\K-8.csv,14.1151,12,0.5615781080430183,2.2008766098850385,1173.7548351355633
data-lakes\clustering\Rockfall-Risk\K-9.csv,14.8917,12,0.877988481210738,1.6532676463232783,1775.1742405312355
data-lakes\clustering\Rockfall-Risk\Z-1.csv,9.6877,12,0.9430480031727982,0.24732103219921642,346.9228525618393
data-lakes\clustering\Rockfall-Risk\Z-2.csv,87.7494,2,0.5326889478814482,0.6343613418059857,4474.728871108018
data-lakes\clustering\Second-Language\37100078.csv,0.0832848,2,0.9986435408676924,0.0011983063319508445,6929787.472485146
data-lakes\clustering\Second-Language\37100141.csv,0.0711989,2,0.9999999196910886,6.014751219463619e-08,1267912781931982.2
data-lakes\clustering\Second-Language\CS_ANG.csv,0.010963,3,0.7447228138920067,0.02863865294042356,554.4186352135515
data-lakes\clustering\Teen-Pregnancy\13100166.csv,3.54244,2,0.9999943122353683,5.140940555225666e-06,1359976186471.3062
data-lakes\clustering\Teen-Pregnancy\13100169.csv,1.35346,2,0.9920801474682153,0.0063219475599148155,867993.1160940335
data-lakes\clustering\Teen-Pregnancy\13100170.csv,6.04745,2,0.9862908772239383,0.29528287465422415,2355.9104977212464
data-lakes\clustering\Teen-Pregnancy\13100172.csv,1.13484,2,0.9915513916441981,0.007728300934213595,1197709.5093078774
data-lakes\clustering\Teen-Pregnancy\13100173.csv,1.16175,2,0.9915524604118586,0.007728300934213635,1277823.8577565665
data-lakes\clustering\Tuition-Fees\34100282.csv,37.3963,2,0.9986407456114479,0.0012014212479648464,174628437.8454183
data-lakes\clustering\Tuition-Fees\37100004.csv,33.6985,2,0.7458912459044353,0.32082654697835644,1427.845758167104
data-lakes\clustering\Tuition-Fees\37100005.csv,36.8411,2,0.9936606751952495,0.013154727802690863,2492.215826784255
data-lakes\clustering\Tuition-Fees\37100006.csv,38.1279,2,0.9623605686228978,0.12502814911063462,2755.6438150830945
data-lakes\clustering\UBER-Trips\jan-feb-foils.csv,0.994248,2,0.6905873882087586,0.19914888138912124,11.420338983050852
data-lakes\clustering\WiFi-Hotspots\DailyUsage.csv,0.0062604,2,0.7108385301795842,0.34468383766227423,135.06311527643763
data-lakes\clustering\WiFi-Hotspots\csv-4.csv,0.0074166,2,0.9468659874275194,0.14096472140044622,939.4548502511739
data-lakes\clustering\WiFi-Hotspots\eduroam.csv,0.0074644,2,0.8407584246360854,0.11695928654096349,15.117647058823529
data-lakes\clustering\WiFi-Hotspots\geojson-2.csv,0.0241177,10,0.6955895039692495,0.02233016751042702,6653.835851115887
data-lakes\clustering\WiFi-Hotspots\json-5.csv,0.0117699,2,0.9033176149576231,0.07128171653754718,26.071428571428584
